Ticker,Name,Industry,Sub-Industry,Headquarters Location,Date added,Founded,domain,investor_page
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",8/27/2008,1946,cfindustries.com,https://ir.cfindustries.com/Investors/financials/sec-filings/default.aspx
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",5/14/2021,1947,criver.com,https://ir.criver.com/
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",6/2/1997,1971,schwab.com,https://schwab.com/investor-relations
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",9/8/2016,1993,corporate.charter.com,https://www.ipaddress.com/website/ir.charter.com/
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",3/4/1957,1879,chevron.com,https://chevron.com/investors
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",4/28/2011,1993,chipotle.com,https://ir.chipotle.com/
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",7/15/2010,1985,chubb.com,https://investors.chubb.com/Home/default.aspx
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",12/29/2015,1847,churchdwight.com,https://churchdwight.com/investor-relations
CI,Cigna,Health Care,Managed Health Care,"Bloomfield, Connecticut",6/30/1976,1982,cigna.com,https://investors.thecignagroup.com/overview/default.aspx
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",12/18/1997,1950,cinfin.com,https://investor.cinfin.com
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",3/1/2001,1929,cintas.com,https://cintas.com/investors
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",12/1/1993,1984,cisco.com,https://investor.cisco.com/home/default.aspx
C,Citigroup,Financials,Diversified Banks,"New York City, New York",5/31/1988,1998,citigroup.com,https://www.citigroup.com/global/investors
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",1/29/2016,1828,citizensbank.com,https://www.citizensbank.com/about-us/our-company/overview.aspx
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",3/31/1969,1913,clorox.com,https://investors.thecloroxcompany.com/overview/default.aspx
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",8/11/2006,1848,cmegroup.com,https://www.cmegroup.com/investor-relations.html
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",3/4/1957,1886,cmsenergy.com,https://cmsenergy.com/investor-relations
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks,"Atlanta, Georgia",3/4/1957,1886,coca-colacompany.com,https://investors.coca-colacompany.com
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",11/17/2006,1994,cognizant.com,https://investors.cognizant.com/home/default.aspx
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",3/4/1957,1806,colgatepalmolive.com,https://investor.colgatepalmolive.com
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",11/19/2002,1963,business.comcast.com,https://www.cmcsa.com/contact-ir
CMA,Comerica,Financials,Diversified Banks,"Dallas, Texas",12/1/1995,1849,comerica.com,https://investor.comerica.com
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",8/31/1983,1919,conagrabrands.com,https://conagrabrands.com/investor-relations
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",3/4/1957,2002,conocophillips.com,https://investor.conocophillips.com
ED,Consolidated Edison,Utilities,Electric Utilities,"New York City, New York",3/4/1957,1823,consolidated.com,https://www.fidiumfiber.com/about-fidium/investors
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",7/1/2005,1945,cbrands.com,"https://www.jcnnewswire.com/english/pressrelease/32506/2/Constellation-Brands-to-Host-Institutional-Investor-Meeting-in-New-York-City-on-November-9,-2016"
CEG,Constellation Energy,Utilities,Multi-Utilities,"Baltimore, Maryland",2/2/2022,1999,constellation.com,https://constellation.com/investors
COO,CooperCompanies,Health Care,Health Care Supplies,"San Ramon, California",9/23/2016,1958,coopercos.com,https://investor.coopercos.com
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",7/2/2018,1982,copart.com,https://www.copart.com/Content/US/PL/Investor-Relations/Investor-Relations
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",2/27/1995,1851,corning.com,https://investor.corning.com/INVESTOR-RELATIONS/DEFAULT.ASPX
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",6/3/2019,2019,corteva.com,https://investors.corteva.com
CSGP,CoStar Group,Industrials,Research & Consulting Services,"Washington, D.C.",9/19/2022,1987,costar.com,https://investors.costargroup.com/ir-resources
COST,Costco,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",10/1/1993,1976,investor.costco.com,https://investor.costco.com/overview/default.aspx
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6/23/2008,2021 (1989),coterra.com,https://investors.coterra.com/Investors/news/news-details/2024/Coterra-Energy-to-Participate-at-Upcoming-Conference/default.aspx
CCI,Crown Castle,Real Estate,Specialized REITs,"Houston, Texas",3/14/2012,1994,gcrowncastle.com,https://investor.crowncastle.com/
CSX,CSX,Industrials,Railroads,"Jacksonville, Florida",3/4/1957,1980,csx.com,https://investors.csx.com/overview/default.aspx
CMI,Cummins,Industrials,Industrial Machinery,"Columbus, Indiana",3/31/1965,1919,cummins.com,https://investor.cummins.com
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",3/4/1957,1996,cvshealth.com,https://investors.cvshealth.com
DHI,D.R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",6/22/2005,1978,drhorton.com,https://www.drhorton.com/investor-relations
DHR,Danaher Corporation,Health Care,Health Care Equipment,"Washington, D.C.",11/18/1998,1969,danaher.com,https://investors.danaher.com
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",5/31/1995,1938,darden.com,https://investor.darden.com/home/default.aspx
DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",7/31/2008,1979,davita.com,https://investors.davita.com
DE,John Deere,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",3/4/1957,1837,deere.com,https://investor.deere.com
DAL,Delta Air Lines,Industrials,Airlines,"Atlanta, Georgia",9/11/2013,1929,delta.com,https://delta.com/investor-relations
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"Charlotte, North Carolina",11/14/2008,2016 (1969),dentsplysirona.com,https://investor.dentsplysirona.com
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",8/30/2000,1971,devonenergy.com,https://devonenergy.com/investor-relations
DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California",5/12/2020,1999,dexcom.com,https://investors.dexcom.com/overview/default.aspx
